EventID,Latitude,Longitude,DepthBelowSL(km),Magnitude(mL),Date(D/M/Y),Time(GMT),ChangeEast(km),ChangeNorth(km),ChangeDepth(km-pos=up),ClosestStation
44943,44.7964,-108.554,17.8455,0.65,8/19/10,5:21:19,-0.63,-3.01,4.09,
44944,44.7328,-107.273,15.6567,-0.49,8/21/10,3:38:59,0.95,1.24,2.76,
44945,44.7519,-105.824,10.0171,0.82,8/24/10,22:29:18,-2.32,-1.75,2.05,
44946,44.2482,-107.381,19.3359,0.01,8/25/10,2:33:39,-0.15,-0.73,4.12,
44947,43.6605,-108.141,20.0342,0.57,8/25/10,3:03:28,2.23,-1.3,11,
44948,44.4156,-107.295,2.04102,0.38,8/25/10,8:39:44,-0.77,0.9,12.76,
44949,44.485,-107.699,26.8018,-0.26,8/29/10,9:25:52,-0.35,0.31,0.81,
44950,44.6205,-107.205,17.1338,-0.08,8/31/10,19:34:51,7.35,0.06,2.78,
44953,43.8964,-107.647,15.5493,0.86,9/2/10,23:55:21,2.28,0.22,5.03,
44951,44.8131,-107.176,10.8362,1.81,9/4/10,8:30:07,0.21,2.16,3.51,
44955,44.1676,-107.462,6.94214,2.38,9/7/10,13:35:50,-0.06,-1.09,5.1,
44954,43.7642,-106.899,8.3252,0.35,9/8/10,11:18:21,3.12,-2.17,6.78,
44956,44.4937,-107.706,15.8582,0.15,9/9/10,10:41:24,0.44,0.3,2.48,
44963,43.7808,-106.733,11.6553,2.42,9/9/10,20:53:28,1.42,5.09,10.58,
44957,43.6221,-106.642,13.5352,1.19,9/12/10,18:30:49,8.53,0.86,5.13,
44958,43.8544,-108.215,16.1133,0.72,9/13/10,3:08:52,4.33,3.32,14.03,
44959,43.7259,-108.094,12.7295,0.81,9/16/10,8:46:57,-0.88,-2.69,12.61,
44960,44.4258,-107.04,16.355,0.21,9/16/10,9:13:14,0.77,2.11,1.84,
44961,43.8299,-106.732,14.7705,0.29,9/17/10,11:52:04,3.89,6.88,-10.11,
44967,44.3125,-107.11,11.2524,0.69,9/18/10,20:58:10,0.25,0.72,6.31,
44964,43.784,-108.035,21.001,0.86,9/18/10,22:50:34,4.93,1.64,3.59,
44965,43.694,-108.164,26.8286,1.46,9/18/10,23:26:31,4.96,-2.89,12.2,
44968,43.63,-106.711,9.99023,1.17,9/21/10,2:34:01,0.01,2.92,0.4,
44966,44.3518,-107.42,20.1819,1.56,9/24/10,13:31:30,-0.37,0.99,3.16,
44962,44.1073,-107.391,8.43262,-0.16,9/28/10,2:05:15,-0.71,-2.09,3.58,
